page_number,extraction_method,text_length,has_korean,has_numbers,contains_keywords,selected_text,ocr_text,pdf_text
1,pdfplumber,49,True,True,"과실, 비율, 사고, 자동차","2023.6.
자
동
차
자동차사고
사
고
과실비율
인정기준
과
실
비
율
인
정
기
준","2023,6.
자동차사고
과실비율
인정기준
손해보험협회","2023.6.
자
동
차
자동차사고
사
고
과실비율
인정기준
과
실
비
율
인
정
기
준"
2,pdfplumber,2441,True,True,"과실, 비율, 사고, 보행자, 자동차","자동차사고 과실비율 인정기준 001
목 차
발간사 ....................................................................................................................................006
제1편 개정경과 .............................................................................................................009
제2편 총 설 .......................................................................................................................011
1. 과실비율 인정기준의 필요성 .......................................................................................012
2. 과실과 과실상계 ...............................................................................................................014
(1) 과실의 의의 .................................................................................................................014
(2) 피해자 과실상계의 의의 .............................................................................................014
(3) 피해자 과실상계의 법적 근거 ....................................................................................015
3. 과실비율 인정기준의 기본원칙 .................................................................................016
(1) 신뢰의 원칙 - 예견가능성 .........................................................................................016
1) 자동차 대 자동차 ....................................................................................................016
2) 자동차 대 보행자 .....................................................................................................018
(2) 과실상계의 기본조건 - 인과관계 .............................................................................018
4. 과실비율 인정기준의 적용 ...........................................................................................020
(1) 기본 과실비율의 일반적인 설정방법 ........................................................................020
(2) 구체적인 과실비율 확정방법(수정요소적용) ...........................................................020
5. 인적 손해에서의 과실상계 별도적용기준 .............................................................022
(1) 별도적용기준의 정의 ..................................................................................................022
(2) 별도적용기준 유형 .....................................................................................................022
(3) 적용 원칙 .....................................................................................................................022
(4) 세부적용 예 .................................................................................................................023","자동차사고 과실비율 인정기준
001
목 차
발간사
006
제]편 개정경과
009
제2편 총설
071
1 과실비율 인정기준의 필요성
012
2. 과실과 과실상계
014
(1) 과실의 의의
014
피해자 과실상계의 의의
014
피해자 과실상계의 법적근거
015
3.과실비율 인정기준의 기본원칙
016
(1) 신회의원칙-예견가능성
016
7) 자동차 대 자동차
016
2) 자동차 대 보행자
018
과실상계의 기본조건
인과관계
018
4 과실비율 인정기준의 적용
020
(1) 기본 과실비율의일반적인 설정방법
020
(2) 구체적인 과실비율 확정방법수정요소적용)
020
5. 인적 손해에서의 과실상계 별도적용기준
022
별도적용기준의 정의
022
별도적용기준유형
022
적용원칙
022
세부적용예
023","자동차사고 과실비율 인정기준 001
목 차
발간사 ....................................................................................................................................006
제1편 개정경과 .............................................................................................................009
제2편 총 설 .......................................................................................................................011
1. 과실비율 인정기준의 필요성 .......................................................................................012
2. 과실과 과실상계 ...............................................................................................................014
(1) 과실의 의의 .................................................................................................................014
(2) 피해자 과실상계의 의의 .............................................................................................014
(3) 피해자 과실상계의 법적 근거 ....................................................................................015
3. 과실비율 인정기준의 기본원칙 .................................................................................016
(1) 신뢰의 원칙 - 예견가능성 .........................................................................................016
1) 자동차 대 자동차 ....................................................................................................016
2) 자동차 대 보행자 .....................................................................................................018
(2) 과실상계의 기본조건 - 인과관계 .............................................................................018
4. 과실비율 인정기준의 적용 ...........................................................................................020
(1) 기본 과실비율의 일반적인 설정방법 ........................................................................020
(2) 구체적인 과실비율 확정방법(수정요소적용) ...........................................................020
5. 인적 손해에서의 과실상계 별도적용기준 .............................................................022
(1) 별도적용기준의 정의 ..................................................................................................022
(2) 별도적용기준 유형 .....................................................................................................022
(3) 적용 원칙 .....................................................................................................................022
(4) 세부적용 예 .................................................................................................................023"
3,pdfplumber,2621,True,True,"과실, 비율, 사고, 보행자, 자동차, 교차로, 직진, 좌회전, 우회전, 신호, 횡단보도, 보1, 보2, 보3","자동차사고 과실비율 인정기준 002
제3편 과실비율 적용기준(사고유형별) ...........................................028
제1장 자동차와 보행자의 사고.............................................................................029
1. 적용 범위 ...............................................................................................................................030
2. 용어 정의 ..............................................................................................................................030
3. 수정요소(인과관계를 감안한 과실비율 조정)의 해설 .....................................033
4. 세부유형별 과실비율 적용기준 .................................................................................038
(1) 횡단보도 내(신호등 있음) ..........................................................................................038
1) 자동차 녹색신호 교차로 통과 후 [보1] ...................................................................038
2) 자동차 황색신호 교차로 통과 후 [보2~보4] ...........................................................042
3) 자동차 적색신호 교차로 통과 후 [보5~보7] ...........................................................049
4) 자동차 교차로 통과 전 [보8~보12].........................................................................056
(2) 횡단보도 내(신호등 없음) [보13] ..............................................................................066
(3) 횡단보도 부근(신호등 있음) .....................................................................................069
1) 직진(좌회전) 자동차 횡단보도 통과 후 [보14~보16] .............................................069
2) 우회전 자동차 횡단보도 통과 후 [보17~보18] ......................................................077
3) 자동차 횡단보도 통과 전 [보19] .............................................................................081
(4) 횡단시설 부근(신호등 없음) [보20~보21] ...............................................................084
(5) 횡단보도 없음 .............................................................................................................089
1) 도로 유형별 [보22~보23] .......................................................................................089
2) 보도와 차도(구분 있음) [보24~보26] .....................................................................096
3) 보도와 차도(구분 없음) [보27~보28] .....................................................................100
(6) 기타 사고유형 [보29~보36] ......................................................................................106
제2장 자동차와 자동차(이륜차 포함)의 사고 .........................................123
1. 적용 범위 ...............................................................................................................................124
2. 용어 정의 ..............................................................................................................................124","자동차사고 과실비율 인정기준
002
제3편 과실비율 적용기준(사고유형벌)
028
제1장 자동차와 보행자의 사고
029
1 적용 범위
030
2. 용어정의
030
3.수정요소(인과관계름 감안한 과실비율 조정)의해설
033
4 세부유형별 과실비율 적용기준
038
(1) 형단보도 내신호등있음)
038
7) 자동차 녹색신호 교차로통과 후 [보7]
038
2) 자동차 홍색신호 교차로통과 후 [보2~보4]
042
자동차 적색신호 고차로통과 후 [보5~보기]
049
자동차 교차로 통과 전 [보8보72]
056
통단보도 내(신호등없음) [보13]
066
횟단보도 부리신호등 있음)
069
7) 직진좌회전) 자동차 통단보도 통과 후 [보74~보76]
069
2) 우회전 자동차 통단보도 통과 후 [보77~보78]
077
자동차 횟단보도 통과 전 [보79]
087
횟단시설 부근신호등없음) [보20보21]
084
(5) +단보도 없음
089
7) 도로 유형별 [보22~보23]
089
2) 보도와 차도(구분 있음) [보24~보26]
096
보도와 차도(구분 없음) [보27~보28]
100
(6) 기타 사고유형 [보29~보36]
106
제2장 자동차와 자동채이료차 포함)의 사고
123
1 적용 범위
124
2. 용어정의
124","자동차사고 과실비율 인정기준 002
제3편 과실비율 적용기준(사고유형별) ...........................................028
제1장 자동차와 보행자의 사고.............................................................................029
1. 적용 범위 ...............................................................................................................................030
2. 용어 정의 ..............................................................................................................................030
3. 수정요소(인과관계를 감안한 과실비율 조정)의 해설 .....................................033
4. 세부유형별 과실비율 적용기준 .................................................................................038
(1) 횡단보도 내(신호등 있음) ..........................................................................................038
1) 자동차 녹색신호 교차로 통과 후 [보1] ...................................................................038
2) 자동차 황색신호 교차로 통과 후 [보2~보4] ...........................................................042
3) 자동차 적색신호 교차로 통과 후 [보5~보7] ...........................................................049
4) 자동차 교차로 통과 전 [보8~보12].........................................................................056
(2) 횡단보도 내(신호등 없음) [보13] ..............................................................................066
(3) 횡단보도 부근(신호등 있음) .....................................................................................069
1) 직진(좌회전) 자동차 횡단보도 통과 후 [보14~보16] .............................................069
2) 우회전 자동차 횡단보도 통과 후 [보17~보18] ......................................................077
3) 자동차 횡단보도 통과 전 [보19] .............................................................................081
(4) 횡단시설 부근(신호등 없음) [보20~보21] ...............................................................084
(5) 횡단보도 없음 .............................................................................................................089
1) 도로 유형별 [보22~보23] .......................................................................................089
2) 보도와 차도(구분 있음) [보24~보26] .....................................................................096
3) 보도와 차도(구분 없음) [보27~보28] .....................................................................100
(6) 기타 사고유형 [보29~보36] ......................................................................................106
제2장 자동차와 자동차(이륜차 포함)의 사고 .........................................123
1. 적용 범위 ...............................................................................................................................124
2. 용어 정의 ..............................................................................................................................124"
4,pdfplumber,2826,True,True,"과실, 비율, 사고, 자동차, 교차로, 직진, 좌회전, 우회전, 신호, 차1, 차2, 차3","자동차사고 과실비율 인정기준 003
3. 수정요소(인과관계를 감안한 과실비율 조정)의 해설 .....................................128
4. 세부유형별 과실비율 적용기준 .................................................................................147
가. 교차로(+자로, T자로 등) 사고 .....................................................................................147
(1) 양쪽 신호등 있는 교차로 ...........................................................................................147
1) 직진 대(對) 직진 사고 - 상대차량이 측면에서 진입 [차1] .....................................147
2) 직진 대 좌회전 사고 - 상대차량이 맞은편에서 진입 [차2] ....................................163
3) 직진 대 좌회전 사고 - 상대차량이 측면 방향에서 진입 [차3] ...............................182
4) 좌회전 대 우회전 - 상대차량이 맞은편에서 진입 [차4] .........................................206
(2) 한쪽 신호등 있는 교차로(상대차량이 측면에서 진입) ...........................................213
1) 직진 대 우회전 사고 [차5] ......................................................................................213
2) 직진 대 직진(좌회전 포함) 사고 [차6] .....................................................................222
(3) 한쪽 지시표지 있는 교차로 ........................................................................................226
1) 직진 대 직진 [차7] ...................................................................................................226
2) 직진 대 좌회전 [차8] ...............................................................................................231
3) 직진 대 우회전 [차9] ..............................................................................................240
4) 좌회전 대 일시정지위반좌회전 [차10] ...................................................................246
(4) 교차로 노면 표시 위반 사고 [차11] ..........................................................................249
(5) 신호등 없는 교차로 ...................................................................................................267
1) 직진 대 직진 사고 [차12] ........................................................................................267
2) 직진 대 우회전 사고 - 상대차량이 측면에서 진입 [차13] ....................................274
3) 직진 대 우회전 사고 - 상대차량이 맞은편에서 진입 [차14] .................................287
4) 직진 대 좌회전 사고 - 상대차량이 맞은편에서 진입 [차15] .................................290
5) 직진 대 좌회전 사고 - 상대차량이 측면에서 진입 [차16] ....................................293
6) 좌회전 대 좌회전 [차17] ........................................................................................304
7) 좌회전 대 우회전 [차18] ........................................................................................309
(6) 교차로 부근 동시 우회전 내지 좌회전 사고 .............................................................315
1) 2개 차량이 나란히 통행 가능한 차로폭에서의 사고 [차19] ..................................315
2) 동시 우회전 사고 [차20] ........................................................................................317
3) 동시 좌회전 사고 [차21] ........................................................................................324","자동차사고 과실비율 인정기준
003
3.수정요소(인과관계름 감안한 과실비율 조정)의해설
128
4 세부유형별 과실비율 적용기준
147
가 교차로(-자로 T자로등) 사고
147
(1) 양쪽 신호등있는 교차로
147
7) 직진 대(표}) 직진사고-상대차량이 축면에서 진입 [차7]
147
2) 직진 대 좌회전 사고-상대차량이 맞은편에서 진입 [차2]
163
3) 직진 대 좌회전 사고- 상대차랑이 축면 방향에서 진입 [차3]
182
좌회전 대우회전-상대차랑이 맞은편에서 진입 [차4]
206
한쪽 신호등엿는 교차로(상대차량이 축면에서 진입)
213
7) 직진 대우회전사고 [차5]
213
직진 대 직진좌회전포함) 사고 [차6]
222
한쪽 지시표지있든 교차로
226
7) 직진 대직진 [차7]
226
2) 직진 대 좌회전 [차8]
231
직진 대우회전 [차9]
240
좌회전 대일시정지위반좌회전 [차70]
246
교차로 노면 표시 위반 사고 [차11]
249
(5) 신호등없는 교차로
267
7) 직진 대 직진 사고 [차12]
267
2) 직진 대우회전 사고-상대차량이 축면에서 진입 [차73]
274
직진 대우회전 사고-상대차량이 맞은편에서 진입 [차14]
287
직진 대 좌회전 사고-상대차랑이 맞은편에서 진입 [차75]
290
직진 대 좌회전사고-상대차량이 축면에서 진입 [차76]
293
좌회전 대 좌회전 [차77]
304
좌회전 대우회전 [차78]
309
교차로 부근 동시 우회전 내지 좌회전사고
315
7) 2개 차량이 나란히 통행 가능한 차로록에서의사고 [차79]
315
2) 동시 우회전사고 [차20]
317
3) 동시 좌회전사고 [차27]
324","자동차사고 과실비율 인정기준 003
3. 수정요소(인과관계를 감안한 과실비율 조정)의 해설 .....................................128
4. 세부유형별 과실비율 적용기준 .................................................................................147
가. 교차로(+자로, T자로 등) 사고 .....................................................................................147
(1) 양쪽 신호등 있는 교차로 ...........................................................................................147
1) 직진 대(對) 직진 사고 - 상대차량이 측면에서 진입 [차1] .....................................147
2) 직진 대 좌회전 사고 - 상대차량이 맞은편에서 진입 [차2] ....................................163
3) 직진 대 좌회전 사고 - 상대차량이 측면 방향에서 진입 [차3] ...............................182
4) 좌회전 대 우회전 - 상대차량이 맞은편에서 진입 [차4] .........................................206
(2) 한쪽 신호등 있는 교차로(상대차량이 측면에서 진입) ...........................................213
1) 직진 대 우회전 사고 [차5] ......................................................................................213
2) 직진 대 직진(좌회전 포함) 사고 [차6] .....................................................................222
(3) 한쪽 지시표지 있는 교차로 ........................................................................................226
1) 직진 대 직진 [차7] ...................................................................................................226
2) 직진 대 좌회전 [차8] ...............................................................................................231
3) 직진 대 우회전 [차9] ..............................................................................................240
4) 좌회전 대 일시정지위반좌회전 [차10] ...................................................................246
(4) 교차로 노면 표시 위반 사고 [차11] ..........................................................................249
(5) 신호등 없는 교차로 ...................................................................................................267
1) 직진 대 직진 사고 [차12] ........................................................................................267
2) 직진 대 우회전 사고 - 상대차량이 측면에서 진입 [차13] ....................................274
3) 직진 대 우회전 사고 - 상대차량이 맞은편에서 진입 [차14] .................................287
4) 직진 대 좌회전 사고 - 상대차량이 맞은편에서 진입 [차15] .................................290
5) 직진 대 좌회전 사고 - 상대차량이 측면에서 진입 [차16] ....................................293
6) 좌회전 대 좌회전 [차17] ........................................................................................304
7) 좌회전 대 우회전 [차18] ........................................................................................309
(6) 교차로 부근 동시 우회전 내지 좌회전 사고 .............................................................315
1) 2개 차량이 나란히 통행 가능한 차로폭에서의 사고 [차19] ..................................315
2) 동시 우회전 사고 [차20] ........................................................................................317
3) 동시 좌회전 사고 [차21] ........................................................................................324"
5,pdfplumber,2629,True,True,"과실, 비율, 사고, 자동차, 교차로, 직진, 우회전, 횡단보도, 차3","자동차사고 과실비율 인정기준 004
나. 마주보는 방향 진행차량 상호 간의 사고 ....................................................................327
(1) 중앙선 침범 사고 [차31] ............................................................................................327
(2) 중앙선 없거나 중앙선침범 미적용 도로에서 교행 사고 [차32] ............................339
(3) 직진(우회전)차와 유턴차 사이의 사고 [차33] ........................................................343
다. 같은 방향 진행차량 상호 간의 사고 .............................................................................351
(1) 안전거리미확보로 인한 추돌사고 [차41] ................................................................351
(2) 주정차 차량 추돌사고 [차42] ...................................................................................355
(3) 진로변경 사고 [차43] ................................................................................................370
(4) 도로로 진입하는 차와 직진차와의 사고 [차44] ......................................................391
(5) 앞지르기 금지 장소에서 추월사고 [차45] ...............................................................393
(6) 선행 유턴 대 후행 유턴 사고 [차46] ........................................................................411
(7) 정차 후 출발 대 직진(우회전) 사고 [차47] ...............................................................413
(8) 낙하물 사고 [차48] ....................................................................................................422
라. 기타 유형의 사고 ............................................................................................................425
(1) 주차장 사고 [차51] .....................................................................................................425
(2) 문 열림 사고 [차52] ....................................................................................................432
(3) 횡단보도 횡단 차량 [차53] ........................................................................................435
(4) 회전교차로 사고 [차54] .............................................................................................438
(5) 긴급자동차 사고 [차55] .............................................................................................452
마. 자동차 대 이륜차 특수유형 ...........................................................................................481
제3장 자동차와 자전거(농기계 포함)의 사고 .........................................488
1. 적용 범위 ...............................................................................................................................489
2. 용어 정의 ..............................................................................................................................489
3. 수정요소의 해설 ...............................................................................................................494","자동차사고 과실비율 인정기준
004
나 마주보는 방향 진행차량 상혼간의 사고
327
(1) 중앙선 침범 사고 [차31]
327
(2) 중앙선 없거나 중앙선침범 미적용 도로에서 교행 사고 [차32]
339
(3) 직진우회전 차와 유런차 사이의사고 [차33]
343
같은방향 진행차량 상호 간의 사고
351
(1) 안전거리미확보로인한 추돌사고 [차41]
351
주정차 차량 추돌사고 [차42]
355
진로변경사고 [차43]
370
도로로진입하는 차와 직진차와의 사고 [차A4]
391
(5) 앞지르기 금지 장소에서 추월사고 [차45]
393
선행유런 대후행 유런 사고 [차46]
417
정차후 출발 대 직진우회전 사고[차4기]
413
낙하물사고 [차48]
422
라 기타 유형의 사고
425
(1) 주차장사고 [차51]
425
(2) 문열림 사고 [차52]
432
형단보도 형단 차량 [차53]
435
회전교차로 사고 [차54]
438
(5) 긴급자동차 사고 [차55]
452
자동차 대 이료차 특수유형
487
제3장 자동차와 자전거농기계포함)의 사고
488
1 적용 범위
489
2. 용어정의
489
3.수정요소의해설
494","자동차사고 과실비율 인정기준 004
나. 마주보는 방향 진행차량 상호 간의 사고 ....................................................................327
(1) 중앙선 침범 사고 [차31] ............................................................................................327
(2) 중앙선 없거나 중앙선침범 미적용 도로에서 교행 사고 [차32] ............................339
(3) 직진(우회전)차와 유턴차 사이의 사고 [차33] ........................................................343
다. 같은 방향 진행차량 상호 간의 사고 .............................................................................351
(1) 안전거리미확보로 인한 추돌사고 [차41] ................................................................351
(2) 주정차 차량 추돌사고 [차42] ...................................................................................355
(3) 진로변경 사고 [차43] ................................................................................................370
(4) 도로로 진입하는 차와 직진차와의 사고 [차44] ......................................................391
(5) 앞지르기 금지 장소에서 추월사고 [차45] ...............................................................393
(6) 선행 유턴 대 후행 유턴 사고 [차46] ........................................................................411
(7) 정차 후 출발 대 직진(우회전) 사고 [차47] ...............................................................413
(8) 낙하물 사고 [차48] ....................................................................................................422
라. 기타 유형의 사고 ............................................................................................................425
(1) 주차장 사고 [차51] .....................................................................................................425
(2) 문 열림 사고 [차52] ....................................................................................................432
(3) 횡단보도 횡단 차량 [차53] ........................................................................................435
(4) 회전교차로 사고 [차54] .............................................................................................438
(5) 긴급자동차 사고 [차55] .............................................................................................452
마. 자동차 대 이륜차 특수유형 ...........................................................................................481
제3장 자동차와 자전거(농기계 포함)의 사고 .........................................488
1. 적용 범위 ...............................................................................................................................489
2. 용어 정의 ..............................................................................................................................489
3. 수정요소의 해설 ...............................................................................................................494"
6,pdfplumber,2867,True,True,"과실, 비율, 사고, 자동차, 교차로, 직진, 좌회전, 우회전, 신호","자동차사고 과실비율 인정기준 005
4. 세부유형별 과실비율 적용기준 .................................................................................500
가. 교차로(+자로, T자로 등) 사고 .....................................................................................500
(1) 양쪽 신호등 있는 교차로 ............................................................................................500
1) 직진 대 직진 사고 - 상대측이 측면에서 진입 [거1] ...............................................500
2) 직진 대 좌회전 사고 - 상대측이 맞은편에서 진입 [거2] ........................................509
(2) 한쪽 지시표지 있는 교차로 ........................................................................................512
1) 직진 대 직진 사고 [거3] ..........................................................................................512
2) 직진 대 좌회전 사고 [거4] .......................................................................................518
3) 직진 대 우회전 사고 [거5] .......................................................................................524
(3) 신호등 없는 교차로 ...................................................................................................530
1) 직진 대 직진 사고 [거6] ..........................................................................................530
2) 직진 대 우회전 사고 [거7] .......................................................................................535
3) 직진 대 좌회전 사고 - 상대측이 맞은편에서 진입 [거8] ........................................543
4) 직진 대 좌회전 사고 - 상대측이 측면에서 진입 [거9] ...........................................546
(4) 동일차로 통행 중 사고................................................................................................559
1) 교차로 부근 선행 우회전 대 후행 직진 사고 [거10] ...............................................559
나. 마주보는 방향 진행차량 상호 간의 사고 .....................................................................565
(1) 중앙선 침범 사고 [거21] ............................................................................................565
다. 같은 방향 진행차량 상호 간의 사고 .............................................................................568
(1) 안전거리미확보로 인한 추돌사고 [거31] .................................................................568
(2) 진로변경 사고 [거32] .................................................................................................571
(3) 도로로 진입하는 차와 직진차와의 사고 [거33] .......................................................575
라. 기타 유형의 사고 .............................................................................................................578
(1) 자전거 도로횡단 사고 [거41] ....................................................................................578
(2) 자전거횡단도로 횡단사고 [거42] .............................................................................580
(3) 자전거 도로 사고 [거43] ............................................................................................583
※ (별첨) 변경대비표 ...........................................................................................................587","자동차사고 과실비율 인정기준
005
4 세부유형별 과실비율 적용기준
500
가 교차로+자로 T자로등) 사고
500
(1) 양쪽신호등 있는 교차로
500
7) 직진 대직진 사고 -상대측이 축면에서 진입 [거7]
500
2) 직진 대좌회전사고-상대측이 맞은편에서 진입 [거2]
509
한쪽 지시표지있든 교차로
512
7) 직진 대직진 사고 [거3]
512
2) 직진 대 좌회전사고 [거4]
518
직진 대우회전사고 [거5]
524
(3) 신호등없는 교차로
530
7) 직진 대직진 사고 [거6]
530
2) 직진 대우회전사고 [거7]
535
직진 대 좌회전 사고-상대속이 맞은편에서 진입 [거8]
543
직진 대 좌회전 사고-상대측이 축면에서 진입 [거9]
546
동일차로 통행 중사고
559
교차로부근 선행 우회전 대후행 직진사고 [거70]
559
나 마주보는 방향 진행차량 상호 간의 사고
565
(1) 중앙선 침범 사고 [거21]
565
갈은방향 진행차량 상호간의 사고
568
(1) 안전거리미확보로 인한 추돌사고 [거31]
568
진로변경사고 [거32]
571
도로로 진입하는 차와 직진차와의사고 [거33]
575
기타 유형의 사고
578
(1) 자전거 도로형단 사고 [거41]
578
(2) 자전거+단도로 통단사고 [거42]
580
자전거도로사고 [거43]
583
* (별점) 변경대비표
587","자동차사고 과실비율 인정기준 005
4. 세부유형별 과실비율 적용기준 .................................................................................500
가. 교차로(+자로, T자로 등) 사고 .....................................................................................500
(1) 양쪽 신호등 있는 교차로 ............................................................................................500
1) 직진 대 직진 사고 - 상대측이 측면에서 진입 [거1] ...............................................500
2) 직진 대 좌회전 사고 - 상대측이 맞은편에서 진입 [거2] ........................................509
(2) 한쪽 지시표지 있는 교차로 ........................................................................................512
1) 직진 대 직진 사고 [거3] ..........................................................................................512
2) 직진 대 좌회전 사고 [거4] .......................................................................................518
3) 직진 대 우회전 사고 [거5] .......................................................................................524
(3) 신호등 없는 교차로 ...................................................................................................530
1) 직진 대 직진 사고 [거6] ..........................................................................................530
2) 직진 대 우회전 사고 [거7] .......................................................................................535
3) 직진 대 좌회전 사고 - 상대측이 맞은편에서 진입 [거8] ........................................543
4) 직진 대 좌회전 사고 - 상대측이 측면에서 진입 [거9] ...........................................546
(4) 동일차로 통행 중 사고................................................................................................559
1) 교차로 부근 선행 우회전 대 후행 직진 사고 [거10] ...............................................559
나. 마주보는 방향 진행차량 상호 간의 사고 .....................................................................565
(1) 중앙선 침범 사고 [거21] ............................................................................................565
다. 같은 방향 진행차량 상호 간의 사고 .............................................................................568
(1) 안전거리미확보로 인한 추돌사고 [거31] .................................................................568
(2) 진로변경 사고 [거32] .................................................................................................571
(3) 도로로 진입하는 차와 직진차와의 사고 [거33] .......................................................575
라. 기타 유형의 사고 .............................................................................................................578
(1) 자전거 도로횡단 사고 [거41] ....................................................................................578
(2) 자전거횡단도로 횡단사고 [거42] .............................................................................580
(3) 자전거 도로 사고 [거43] ............................................................................................583
※ (별첨) 변경대비표 ...........................................................................................................587"
7,pdfplumber,21,True,False,"과실, 비율, 사고, 자동차","자동차사고 과실비율 인정기준
발 간 사","자동차사고 과실비율 인정기준
발 간 사","자동차사고 과실비율 인정기준
발 간 사"
8,pdfplumber,902,True,True,"과실, 비율, 사고, 자동차, 판결","자동차사고 과실비율 인정기준 │ 발간사 007
우리나라에서 과실비율 인정기준이 최초로 마련된 것은 1976년이었습니다. 당시
인정기준은 자동차보험 보상 및 보험사간 사고 보상금액에 대한 구상을 목적으로
일본의 기준을 참고하여 만들어졌습니다. 이후 자동차보험 약관에 반영하여 사용
되어 오다, 2000년부터는 보험업감독업무 시행세칙 상 자동차보험 표준약관의 과실
비율 적용기준으로 반영되어, 자동차사고 보상시 활용되어 왔습니다.
그러나, 1976년 20만대에 불과했던 자동차등록대수는 우리나라의 눈부신 경제
발전과 함께 급속하게 증가하여 2022년 기준 약 2,500만대에 이르렀습니다. 연간
발생하는 교통사고 또한 보험 통계 기준 약 370만건으로 매일 약 1만여건의 교통
사고가 일어나고 있는 실정입니다.
차량 보급 및 교통사고의 증가와 함께 과실비율에 대한 분쟁도 함께 증가하였으며,
특히 최근에는 인터넷, SNS 등 다양한 매체를 통해 수많은 교통사고 사례나 블랙박스
영상 등이 공유되면서 과실비율에 대한 국민들의 관심과 눈높이가 매우 높아졌습니다.
연간 수백만 건씩 발생하는 과실비율 분쟁을 모두 소송 및 법원의 판결로 해결하는
것은 현실적으로 불가능하고, 엄청난 사법력의 낭비로 볼 수도 있을 것입니다. 따라서
당사자 간의 원만한 합의와 신속한 보상처리를 위해 과실비율 인정기준은 사고에
대한 공평 타당한 보상 뿐만 아니라 국민 대다수가 이해하고 수용할 수 있는 합리적인
기준으로서 반드시 필요하며, 그 인정기준은 법리적으로 부합해야 하고 정당성과
공정성에 대한 사회적 합의가 담겨야만 할 것입니다.
이에 과실비율분쟁 심의위원회는 그간 교통환경 변화와 법령개정 사항 등을 반영
하고, 판례 경향, 법원 실무사례 및 문헌 등을 참고하여 학계, 법조계 등의 연구와
자문을 거쳐 인정기준을 개정하여 왔습니다.","자동차사고 과실비율 인정기준
007
발간사
우리나라에서 과실비율 인정기준이 최초로 마련된 것은 1976년이없습니다: 당시
인정기준은 자동차보험 보상 및 보험사간 사고 보상금액에 대한 구상을 목적으로
일본의 기준올 참고하여 만들어적습니다: 이후 자동차보험 약관에 반영하여 사용
되어 오다, 200O년부터는 보험업감독업무 시행세칙 상 자동차보험 표준약관의 과실
비율 적용기준으로 반영되어 자동차사고 보상시 활용되어 앞습니다:
그러나, 1976년 20만대에 불과햇단 자동차등록대수는 우리나라의 눈부신 경제
발전과 함께 급속하게 증가하여 2022년 기준 약 2,500만대에 이르렉습니다. 연간
발생하는 교통사고 또한 보험 통계 기준 약 370만건으로 매일 약 1 만여건의 교통
사고가 일어나고 있는 실정입니다.
차량 보급 및 교통사고의 증가와 함께 과실비울에 대한 분쟁도 함께 증가하없으다,
특히 최근에는 인터넷 SNS 등 다양한 매체튼 통해 수많은 교통사고 사례나 불렉박스
영상등이 공유되면서 과실비울에 대한 국민들의 관심과 눈높이가 매우 높아켓습니다:
연간 수백만 건씩 발생하는 과실비율 분쟁올 모두 소송 및 법원의 판결로 해결하는
것은 현실적으로 불가능하고 엄청난 사법력의 낭비로 볼 수도 있을 것입니다 따라서
당사자 간의 원만한 합의와 신속한 보상처리흘 위해 과실비율 인정기준은 사고에
대한 공평 타당한 보상 분만 아니라 국민 대다수가 이해하고 수용할 수 있는 합리적인
기준으로서 반드시 필요하다 , 그 인정기준은 법리적으로 부합해야 하고 정당성과
공정성에 대한 사회적 합의가 담겨야만 할 것입니다:
이에 과실비울분쟁 심의위원회는 그간 교통환경 변화와 법령개정 사항 등올 반영
하고 판례 경향 법원 실무사례 및 문현 등올 참고하여 학계  법조계 등의 연구와
자문을 거처 인정기준올 개정하여 낯습니다:","자동차사고 과실비율 인정기준 │ 발간사 007
우리나라에서 과실비율 인정기준이 최초로 마련된 것은 1976년이었습니다. 당시
인정기준은 자동차보험 보상 및 보험사간 사고 보상금액에 대한 구상을 목적으로
일본의 기준을 참고하여 만들어졌습니다. 이후 자동차보험 약관에 반영하여 사용
되어 오다, 2000년부터는 보험업감독업무 시행세칙 상 자동차보험 표준약관의 과실
비율 적용기준으로 반영되어, 자동차사고 보상시 활용되어 왔습니다.
그러나, 1976년 20만대에 불과했던 자동차등록대수는 우리나라의 눈부신 경제
발전과 함께 급속하게 증가하여 2022년 기준 약 2,500만대에 이르렀습니다. 연간
발생하는 교통사고 또한 보험 통계 기준 약 370만건으로 매일 약 1만여건의 교통
사고가 일어나고 있는 실정입니다.
차량 보급 및 교통사고의 증가와 함께 과실비율에 대한 분쟁도 함께 증가하였으며,
특히 최근에는 인터넷, SNS 등 다양한 매체를 통해 수많은 교통사고 사례나 블랙박스
영상 등이 공유되면서 과실비율에 대한 국민들의 관심과 눈높이가 매우 높아졌습니다.
연간 수백만 건씩 발생하는 과실비율 분쟁을 모두 소송 및 법원의 판결로 해결하는
것은 현실적으로 불가능하고, 엄청난 사법력의 낭비로 볼 수도 있을 것입니다. 따라서
당사자 간의 원만한 합의와 신속한 보상처리를 위해 과실비율 인정기준은 사고에
대한 공평 타당한 보상 뿐만 아니라 국민 대다수가 이해하고 수용할 수 있는 합리적인
기준으로서 반드시 필요하며, 그 인정기준은 법리적으로 부합해야 하고 정당성과
공정성에 대한 사회적 합의가 담겨야만 할 것입니다.
이에 과실비율분쟁 심의위원회는 그간 교통환경 변화와 법령개정 사항 등을 반영
하고, 판례 경향, 법원 실무사례 및 문헌 등을 참고하여 학계, 법조계 등의 연구와
자문을 거쳐 인정기준을 개정하여 왔습니다."
