source_pdf,page_number,accident_code,accident_name,basic_fault_ratio,modification_factors,related_cases,raw_text
과실비율인정기준,3,보1,자동차 녹색신호 교차로 통과 후 [보1] ...................................................................038,,,,"자동차사고 과실비율 인정기준 002
제3편 과실비율 적용기준(사고유형별) ...........................................028
제1장 자동차와 보행자의 사고.............................................................................029
1. 적용 범위 ...............................................................................................................................030
2. 용어 정의 ..............................................................................................................................030
3. 수정요소(인과관계를 감안한 과실비율 조정)의 해설 ....."
과실비율인정기준,4,차1,직진 대(對) 직진 사고 - 상대차량이 측면에서 진입 [차1] .....................................147,,,,"자동차사고 과실비율 인정기준 003
3. 수정요소(인과관계를 감안한 과실비율 조정)의 해설 .....................................128
4. 세부유형별 과실비율 적용기준 .................................................................................147
가. 교차로(+자로, T자로 등) 사고 .....................................................................................147
(1) 양쪽 신호등 있는 교차로 ...........................................................................................147
1) 직진 대(對) 직진 사고 - 상대차량이 측면에서 진입 [차1] .....................................147
2"
과실비율인정기준,5,차31,중앙선 침범 사고 [차31] ............................................................................................327,,,,"자동차사고 과실비율 인정기준 004
나. 마주보는 방향 진행차량 상호 간의 사고 ....................................................................327
(1) 중앙선 침범 사고 [차31] ............................................................................................327
(2) 중앙선 없거나 중앙선침범 미적용 도로에서 교행 사고 [차32] ............................339
(3) 직진(우회전)차와 유턴차 사이의 사고 [차33] ........................................................343
다. 같은 방향 진행차량 상호 간의 사고 .............................................................................351
("
과실비율인정기준,35,보14,"사고는 보14~보20 기준에 적용된 과실에 각 10%의 보행자 과실을 가산하며, 그",,,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 034
또는 차 뒤에서 도로를 횡단하는 경우에도 보행자의 과실을 가산하지 않는다. 가로등 등의
조명으로 인하여 자동차의 운전자가 전조등에 의하지 않더라도 보행자의 발견이 용이한
장소에서의 사고는 가산하지 않는다.
(2) 횡단보도 부근
- ‘횡단보도 부근’이라는 개념은 횡단보도로부터 10m 내외의 지점을 말하고, 10~30m까지
지점의 사고는 보14~보20 기준에 적용된 과실에 각 10%의 보행자 과실을 가산하며, 그
거리를 넘는 지점에서의 사고는 무단횡단의 예를 적용한다.
(3) 간선도로
- ‘간선도로’라 함은 차도폭이 20m 이상이거나 또는 왕복 6차로 이상의 도로 또는 제한시속
80km 이상인 도로로서 교통량이 많은 도로를 말한다.
- 간선도로인 경우 차량의 통행이 많고 차량이 고속주행을 하는 반면 보행자의 도로횡단 등을
도와주는 시설물이 설치된 경우가 많으므로 보행자의 과실을 가"
과실비율인정기준,39,보1,자동차 녹색신호 교차로 통과 후( ) [보1],,야간·기타 시야장애:+5; 간선도로:+5; 주택·상점가·학교:-5,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 038
4. 세부유형별 과실비율 적용기준
(1) 횡단보도 내( ) (신호등 있음)
內
1) 자동차 녹색신호 교차로 통과 후( ) [보1]
後
보행자 적색신호 횡단 개시, 적색신호 충격 사고
보1
(보) 적색에 횡단 개시, 적색에 충격
(차) 녹색에 교차로 진입
보행자 기본 과실비율 70
① 야간·기타 시야장애 +5
② 간선도로 +5
과 정지·후퇴·ㄹ자 보행 +5
실 ③ 주택·상점가·학교 -5
비
집단횡단 -5
율
어린이·노인·장애인 -5
조 ④
어린이·노인·장애인보호구역 -15
정
예 차의 현저한 과실 -10
시 차의 중대한 과실 -20
보행자 급진입
비적용
⑤ 보·차도 구분 없음
※사고발생, 손해확대와의 인과관계를 감안하여 기본 과실비율을 가(+), 감(-) 조정 가능합니다.
사고 상황
⊙ 신호기가 있는 횡단보도에서 녹색신호에 교차로를 통과한 차량(직진, 좌회전, 우회전 규제를
받는"
과실비율인정기준,40,보1,"충격할 때, 그 차량신호등이 황색신호로 바뀐 경우에도 보1 기준을 준용한다.",,,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 039
수정요소(인과관계를 감안한 과실비율 조정) 해설
① 야간 또는 주·정차된 차량 사이에서 보행자가 걸어 나오는 등 운전자가 보행자의 횡단을
예상하기 어려운 경우 보행자의 과실을 5%까지 가산할 수 있다.
② 간선도로인 경우 보행자의 횡단을 예견하기 어려우므로 보행자의 과실을 5%까지 가산할
수 있다.
③ 주택·상점가·학교는 보행자의 횡단이 잦은 곳이므로 보행자의 과실을 5%까지 감산할 수 있다.
④ 어린이·노인·장애인에 대한 보호를 규정한 도로교통법 제11조 내지 제12조의 2의 취지에
비추어 차량은 항상 교통약자인 어린이·노인·장애인의 동태에 대해서 보다 주의를 기울여
야 하는 바, 보행자가 어린이·노인·장애인인 경우에는 보행자의 과실을 5% 감산하고,
어린이·노인·장애인 보호구역 안에서는 차량의 주의의무가 더 높아지므로 보행자의 과실을
15%까지 감산할 수 있다. 점선을 기준"
과실비율인정기준,43,보2,자동차 황색신호 교차로 통과 후( ) [보2~보4],,야간·기타 시야장애:+5; 간선도로:+5; 주택·상점가·학교:-5,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 042
2) 자동차 황색신호 교차로 통과 후( ) [보2~보4]
後
보행자 적색신호 횡단 개시, 적색신호 충격 사고
보2
(보) 적색에 횡단 시작, 적색에 충격
(차) 황색에 교차로 진입
보행자 기본 과실비율 50
① 야간·기타 시야장애 +5
② 간선도로 +5
과 ③ 주택·상점가·학교 -5
실 집단횡단 -5
비
어린이·노인·장애인 -5
율 ④
어린이·노인·장애인보호구역 -15
조
차의 현저한 과실 -10
정
예 차의 중대한 과실 -20
시 정지·후퇴·ㄹ자 보행
보행자 급진입 비적용
⑤ 보·차도 구분 없음
※사고발생, 손해확대와의 인과관계를 감안하여 기본 과실비율을 가(+), 감(-) 조정 가능합니다.
사고 상황
⊙ 신호기가 있는 횡단보도에서 황색신호에 교차로를 통과한 차량(직진, 좌회전, 우회전 규제를
받는 우회전)이 보행자신호등 적색신호에 횡단보도를 건너고 있던 보행자를 보행신호등
"
과실비율인정기준,47,보3,,,보행자 급진입:+5,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 046
보행자 적색신호 횡단 개시, 녹색(녹색점멸)신호 충격 사고
보3
(보) 적색에 횡단 개시, 녹색(녹색점멸)에 충격
(차) 황색에 교차로 진입
보행자 기본 과실비율 30
야간·기타 시야장애 +5
간선도로 +5
과 주택·상점가·학교 -5
실 집단횡단 -5
비
어린이·노인·장애인 -5
율
어린이·노인·장애인보호구역 -15
조
차의 현저한 과실 -10
정
예 차의 중대한 과실 -20
시 정지·후퇴·ㄹ자 보행
보행자 급진입 비적용
보·차도 구분 없음
※사고발생, 손해확대와의 인과관계를 감안하여 기본 과실비율을 가(+), 감(-) 조정 가능합니다.
보행자 녹색신호 횡단 개시, 녹색(녹색점멸)신호 충격 사고
보4
(보) 녹색에 횡단 개시, 녹색(녹색점멸)에 충격
(차) 황색에 교차로 진입
보행자 기본 과실비율 0
야간·기타 시야장애 +5
간선도로 +5
과 ① 보행자 급진입 +5
실 주택·상"
과실비율인정기준,48,보3,"보3 신호기가 있는 횡단보도에서 황색신호에 교차로를 통과한 차량(직진, 좌회전)이 보행자",,,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 047
사고 상황
⊙ 보3 신호기가 있는 횡단보도에서 황색신호에 교차로를 통과한 차량(직진, 좌회전)이 보행자
신호등 적색신호에 횡단보도를 건너고 있던 보행자를 보행자신호등 녹색(또는 녹색점멸)
신호로 바뀐 상황에서 충격한 사고이다.
⊙ 보4 신호기가 있는 횡단보도에서 황색신호에 교차로에 통과한 차량(직진, 좌회전)이 보행자
신호등 녹색신호에 횡단보도를 건너고 있던 보행자를 보행자신호등 녹색(또는 녹색점멸)
신호가 여전히 켜져 있는 상황에서 충격한 사고이다.
기본 과실비율 해설
⊙ 보3 도로교통법 제5조에 따라 보행자나 차마 등은 신호기의 신호에 따라야 할 의무가
있으므로 차량과 보행자 모두 신호를 위반한 것이나, 보행자가 적색신호에 횡단을 개시하였
지만 녹색신호에 충격 당하였다는 점을 고려하여 보행자의 기본과실을 30%로 정하였다.
⊙ 보4 보행자가 녹색신호에 횡단을 개시하여 녹색신"
과실비율인정기준,50,보5,자동차 적색신호 교차로 통과 후( ) [보5~보7],,야간·기타 시야장애:+5,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 049
3) 자동차 적색신호 교차로 통과 후( ) [보5~보7]
後
보행자 녹색신호 횡단 개시, 녹색(녹색점멸)신호 충격 사고
보5
(보) 녹색에 횡단 개시, 녹색(녹색점멸)에 충격
(차) 적색에 교차로 진입
보행자 기본 과실비율 0
보행자 급진입 +5
야간·기타 시야장애
과 간선도로
실 정지·후퇴·ㄹ자 보행
비
주택·상점가·학교
율
집단횡단
조 비적용
어린이·노인·장애인
정
예 어린이·노인·장애인 보호구역
시 차의 현저한 과실
차의 중대한 과실
보·차도 구분 없음
※사고발생, 손해확대와의 인과관계를 감안하여 기본 과실비율을 가(+), 감(-) 조정 가능합니다.
보행자 적색신호 횡단 개시, 적색신호 충격 사고
보6
(보) 적색에 횡단 개시,적색에 충격
(차) 적색에 교차로 진입
보행자 기본 과실비율 40
① 야간·기타 시야장애 +5
간선도로 +5
과 주택·상점가·학교 -5
실 집단횡단"
