source_pdf,page_number,accident_code,accident_name,basic_fault_ratio,modification_factors,related_cases,raw_text
과실비율인정기준,2,,,20,고 과실비율 인정기준:001; ....................................................................................................................................:006; 과실비율 인정기준의 필요성 .......................................................................................:012; 과실과 과실상계 ...............................................................................................................:014; 과실상계의 의의 .............................................................................................:014; 과실상계의 법적 근거 ....................................................................................:015; 과실비율 인정기준의 기본원칙 .................................................................................:016; 능성 .........................................................................................:016; ....................................................................................................:016; .....................................................................................................:018,,"자동차사고 과실비율 인정기준 001
목 차
발간사 ....................................................................................................................................006
제1편 개정경과 .............................................................................................................009
제2편 총 설 .......................................................................................................................011
1. 과실비율 인정기준의 필요성 ................................................................."
과실비율인정기준,8,,,0,련된 것은:1976; 고 또한 보험 통계 기준 약:370,"1976년이었습니다. 당시 인정기준은 자동차보험 보상 및 보험사간 사고 보상금액에 대한 구상을 목적으로 일본의 기준을 참고하여 만들어졌습니다. 이후 자동차보험 약관에 반영하여 사용 되어 오다, 2000년부터는 보험업감독업무 시행세칙 상 자동차보험 표준약관의 과실 비율 적용기준으로 반영되어, 자동차사고 보상시 활용되어 왔습니다. 그러나, 1976년 20만대에 불과했던 자동차등록대수는 우리나라의 눈부신 경제 발전과 함께 급속하게 증가하여 2022년 기준 약 2,500만대에 이르렀습니다. 연간 발생하는 교통사고 또한 보험 통계 기준 약 370만건으로 매일 약 1만여건의 교통 사고가 일어나고 있는 실정입니다. 차량 보급 및 교통사고의 증가와 함께 과실비율에 대한 분쟁도 함께 증가하였으며, 특히 최근에는 인터넷, SNS 등 다양한 매체를 통해 수많은 교통사고 사례나 블랙박스 영상 등이 공유되면서 과실비율에 대한 국민들의 관심과 눈높이가 매우 높아졌습니다. 연간 수백만 건씩 발생하는 과실비율 분쟁을 모두 소송 및 법원의 판결","자동차사고 과실비율 인정기준 │ 발간사 007
우리나라에서 과실비율 인정기준이 최초로 마련된 것은 1976년이었습니다. 당시
인정기준은 자동차보험 보상 및 보험사간 사고 보상금액에 대한 구상을 목적으로
일본의 기준을 참고하여 만들어졌습니다. 이후 자동차보험 약관에 반영하여 사용
되어 오다, 2000년부터는 보험업감독업무 시행세칙 상 자동차보험 표준약관의 과실
비율 적용기준으로 반영되어, 자동차사고 보상시 활용되어 왔습니다.
그러나, 1976년 20만대에 불과했던 자동차등록대수는 우리나라의 눈부신 경제
발전과 함께 급속하게 증가하여 2022년 기준 약 2,500만대에 이르렀습니다. 연간
발생하는 교통사고 또한 보험 통계 기준 약 370만건으로 매일 약 1만여건의 교통
사고가 일어나고 있는 실정입니다.
차량 보급 및 교통사고의 증가와 함께 과실비율에 대한 분쟁도 함께 증가하였으며,
특히 최근에는 인터넷, SNS 등 다양한 매체를 통해 수많은 교통사고 사례나 블랙박스
영상 등이 공유되면서"
과실비율인정기준,11,,,1,고 과실비율 인정기준 │ 제:1; 는 것을 목적으로 지난:1976; 개정을 시작으로:2022,,"자동차사고 과실비율 인정기준 │ 제1편 개정경과 010
⊙ 자동차사고 과실비율 인정기준(이하 과실비율 인정기준)은 자동차보험의 보상 및 구상
업무 시 사용하는 것을 목적으로 지난 1976년 처음 제정되어 수차례의 개정작업을 거쳐
사용되어 왔습니다.
⊙ 최초의 과실비율 인정기준은 일본 동경지법 민사27부 판사 3인에 의해 공동 발표된 “민사
교통소송에 있어서의 과실상계율 등의 인정기준”(`74.11.)을 참고하여 우리나라의 교통
법규를 반영하고 일부 내용을 수정하여 만들어졌습니다.
⊙ 이후 변화하는 교통 환경과 국내 법규 등을 반영하고 국내·외 판례 및 문헌 등을 참고하여
1992년 1차 개정을 시작으로 2022년까지 총 9차에 걸쳐 과실비율 인정기준은 개정되어
왔으며 2023년 10차 개정을 하게 되었습니다.
1차 개정 1992년 11월
2차 개정 1994년 8월
3차 개정 1996년 10월
4차 개정 1999년 7월
5차 개정 2004년 8월
6차 개정 2007년 12월
7차 개정"
과실비율인정기준,15,,,2,고 과실비율 인정기준 │ 제:2,2001. 1. 19. 선고 2000다12532 판결,"자동차사고 과실비율 인정기준 │ 제2편 총설 014
2. 과실과 과실상계
(1) 과실의 의의
일반적으로 과실이란 사회생활상 요구되는 주의를 기울였다면, 일정한 결과의 발생을 알 수
있었거나 그러한 결과를 회피할 수 있었을 것인데, 그 주의를 다하지 아니함으로써 그러한
결과를 발생하게 하는 심리상태를 의미하며, 통상 선량한 관리자의 주의의무 위반으로 표현
되고 있다(추상적 경과실).
참고 판례 : 대법원 2001. 1. 19. 선고 2000다12532 판결
불법행위의 성립요건으로서의 과실은 이른바 추상적 과실만이 문제되는 것이고 이러한 과실은
사회평균인으로서의 주의의무를 위반한 경우를 가리키는 것이지만, 그러나 여기서의 ‘사회평균인’이라고
하는 것은 추상적인 일반인을 말하는 것이 아니라 그때 그때의 구체적인 사례에 있어서의 보통인을
말하는 것이다.
불법행위로서의 과실은 상대방의 손해에 대하여 배상책임을 지는 것을 의미한다.
민법 제750조(불법행위의 내용)
고의 또는 과실로 인한 위법"
과실비율인정기준,16,,,2,"고 과실비율 인정기준 │ 제:2; . 그래서 민법 제:396; 고 있고, 민법 제:763",2004. 7. 22. 선고 2001다58269 판결,"자동차사고 과실비율 인정기준 │ 제2편 총설 015
있어 사고의 발생 및 손해의 확대에 피해자의 부주의가 개입되어 있는 경우, 이를 감안하여
가해자의 책임을 제한하고 배상액을 감경하는 제도이다.
불법행위로서의 가해자 과실은 의무위반이라는 강력한 과실이다. 그러나 과실상계에서의
과실은 사회통념이나 신의성실의 원칙에 따라 공동생활에 있어 요구되는 약한 의미의 부주의를
가리키는 것으로서, 피해자 자신의 불이익을 방지할 주의를 게을리 하는 것을 의미한다.
참고 판례 : 대법원 2004. 7. 22. 선고 2001다58269 판결
불법행위에 있어서 과실상계는 공평 내지 신의칙의 견지에서 손해배상액을 정함에 있어 피해자의
과실을 참작하는 것으로서, 그 적용에 있어서는 가해자와 피해자의 과실의 정도, 위법행위의 발생
및 손해의 확대에 관하여 어느 정도의 원인이 되어 있는가 등의 제반 사정을 고려하여 배상액의
범위를 정하는 것이며, 불법행위에 있어서의 가해자의 과실이 의무위반의 강력한 과실임에
반"
과실비율인정기준,17,,,2,고 과실비율 인정기준 │ 제:2; (대법원:2022; (대법원:1994,2022. 6. 16. 선고 2022도1401 판결; 1985. 7. 9. 선고 85도833 판결; 1994. 9. 9. 선고 94다18003판결,"자동차사고 과실비율 인정기준 │ 제2편 총설 016
3. 과실비율 인정기준의 기본원칙
(1) 신뢰의 원칙 – 예견가능성
자동차의 운전자는 통상 예견되는 사태에 대비하여 그 결과를 회피할 수 있는 정도의 주의
의무를 다함으로써 족하고 통상 예견하기 어려운 이례적인 사태의 발생을 예견하여 이에
대비하여야 할 주의의무까지 있다 할 수 없다(대법원 2022. 6. 16. 선고 2022도1401 판결).
일반적으로 교통규칙을 준수한 운전자는 특별한 사정이 없는 한 다른 차량 운전자도 교통규칙을
준수할 것이라고 신뢰하게 된다. 이와 같이 타인의 책임과 의무 이행에 대한 신뢰 하에 자기의
할 일을 다한 경우에는 주의의무를 이행하였다고 보는 것을 신뢰의 원칙이라고 한다.
다만, 신뢰의 원칙은 상대방 교통 관여자가 도로교통의 제반법규를 지켜 도로교통에 임하
리라고 신뢰할 수 없는 특별한 사정이 있는 경우에는 그 적용이 배제된다고 할 것이므로(대법원
1985. 7. 9. 선고 85도833 판결), 차"
과실비율인정기준,18,,,2,고 과실비율 인정기준 │ 제:2; (대법원:2002; .(대법원:1999; (대법원:2007; (대법원:1997,1992. 4. 10. 선고 91다44469 판결; 2007. 5. 10. 선고 2006다3295 판결; 1997. 11. 28. 선고 97다31618 판결,"자동차사고 과실비율 인정기준 │ 제2편 총설 017
다른 차량이 있거나 다른 차량이 그 진행방향의 신호가 진행신호에서 정지신호로 바뀐 직후에
교차로에 진입하여 계속 진행하고 있는 것을 발견하였거나 또는 그 밖에 신호를 위반하여
교차로에 진입할 것이 예상되는 특별한 경우라면 그러한 차량의 동태를 두루 살피면서 서행
하는 등 사고를 방지할 태세를 갖추고 운전하여야 할 주의의무가 있다고 할 것이지만, 그와 같
은 주의의무는 어디까지나 신호가 바뀌기 전이나 그 직후에 교차로에 진입하여 진행하고 있는
차량에 대한 관계에서 인정되는 것이고, 신호가 바뀐 후 다른 차량이 신호를 위반하여 교차로에
새로 진입하여 진행하여 올 경우까지 예상하여 그에 따른 사고의 발생을 방지하기 위한 조치
까지 강구할 주의의무는 없다. 그리고 이러한 법리는 교차로에서 자신의 진행방향에 대한
별도의 진행신호가 없다고 하여도, 다른 차량들의 진행방향이 정지신호일 경우를 이용하여
교통법규에 위배되지 않게 진행하는 경우에도 "
과실비율인정기준,19,,,2,고 과실비율 인정기준 │ 제:2; . (대법원:1985,1985. 11. 12. 선고 85도1893 판결; 1971. 3. 23. 선고 70다2986 판결,"자동차사고 과실비율 인정기준 │ 제2편 총설 018
2) 자동차 대 보행자
횡단보도의 보행자 신호등이 적색으로 표시된 경우는 보행인은 신호를 위반하여 길을 건너서는
아니 되므로 피고인으로서는 이러한 횡단보도에서는 보행인이 신호를 위반하여 횡단하지
아니하리라고 기대함은 당연하고, 보행자가 적색신호를 무시하고 갑자기 뛰어 나오리라는
것까지 미리 예견하여 운전하여야 할 업무상의 주의의무까지 있다고 볼 수는 없고 또 이 사건
현장 부근은 차량통행과 보행인의 통행이 매우 번잡한 곳이고 사고시간 당시에는 술에 취한
보행인이나 귀가를 서두르는 사람들이 택시나 버스를 타기 위하여 차도까지 내려오는 것이 예견
된다고는 하더라도 이 사건과 같은 교통 빈번한 간선도로에서 횡단금지의 적색신호인데도
무모하게 버스 앞을 뛰어 횡단하려 하는 아주 드문 경우까지를 예견하고 이에 대치할 것을 요
구함과 같은 것은 자동차 운전자에 대한 통상의 주의의무의 정도를 넘는 과대한 요구라고 하지
않을 수 없을 것이다. (대"
과실비율인정기준,20,,,2,고 과실비율 인정기준 │ 제:2; (대법원:1987; (부산고등법원:2007,,"자동차사고 과실비율 인정기준 │ 제2편 총설 019
따라서 피해자의 과실이 사고의 발생 또는 손해의 확대에 아무런 영향이 없다면 과실상계의
대상이 되지 않는다.
갑작스런 중앙선 침범 차량에 추돌을 당하여 동승자들이 다친 경우 이 사고는 중앙선 침범
차량의 일방적 과실이 그 직접적인 원인이 있는 것이므로, 동승자들이 승차 정원을 초과하여
탄 사실은 중앙선 침범 사고로 인한 손해 발생에 관하여 인과관계가 없다(대법원 1987. 5.
12. 선고 86다카819 판결).
오토바이 운전자가 안전모를 착용하지 않았다고 하더라도 머리를 다친 것이 아닌 이상 안전모
미착용과 손해 확대 사이에 인과관계가 없고, 차량운전자가 안전벨트를 착용하지 않았더라도
사고 충격이 커서 안전벨트를 착용하였다고 하더라도 동일한 부상을 당할 상황이라면 안전벨트
미착용과 손해 확대 사이에 인과관계가 없다.
교통사고 후 현장에서 도주한 경우, 이미 도주 당시 경찰이 도착하여 피해자 구호 조치를 취하고
있었다면 도주로 인하"
과실비율인정기준,21,,,30,고 과실비율 인정기준 │ 제:2; . (예 : A:30; 고는 일방과실(:0,,"자동차사고 과실비율 인정기준 │ 제2편 총설 020
4. 과실비율 인정기준의 적용
(1) 기본 과실비율의 일반적인 설정방법
통상 자동차 사고에 있어서 피해자 과실의 유무 및 그 정도는 사고 발생에 기여한 피해자의
교통법규 위반의 유무 및 그 정도의 형태로 구체화된다. 따라서, 과실비율을 결정함에 있어서는
먼저 교통법규와 이에 기한 통행우선권을 기본으로 하여 그 비율을 수치화한 다음, 구체적인
상황에서의 위험성에 관한 요소들, 즉 차량속도, 도로상황, 사고발생 지점의 도로 구조, 사고
차량간 거리, 기타 관련된 교통상황 등을 고려하여 사고 발생의 예견 내지 회피 가능한 요소들
을 추출, 적용함으로써 기본 과실비율을 수정하는 과정을 거치게 된다.
본서에서의 각 사고 유형별 기본 과실비율의 설정방법은 다음과 같다.
① 각 사고유형별로 기본 과실비율을 먼저 정한다.
② 자동차와 보행자사고의 경우는 보행자의 기본 과실비율만을 표시하고 이에 수정 요소를
가감산한다.
③ 자동차와 자동차사고, 자"
